product_id,product_name,category,sub_category,brand,unit_price,cost_price
P0063,Nexa Lip Balm,Beauty & Health,Lip Balm,DailyChoice,13.31,7.46
P0064,SwiftFit Lip Balm,Beauty & Health,Lip Balm,Nexa,106.44,52.84
P0065,AlphaTech Dumbbell Set,Sports,Dumbbell Set,MajuMart,13.48,8.21
P0066,MajuMart Dumbbell Set,Sports,Dumbbell Set,UrbanCo,13.9,8.58
P0067,NovaLite Yoga Mat,Sports,Yoga Mat,EcoBasics,219.84,145.6
P0068,NovaLite Yoga Mat,Sports,Yoga Mat,DailyChoice,20.44,14.72
P0069,EcoBasics Badminton Racket,Sports,Badminton Racket,DailyChoice,219.48,142.05
P0070,BrightHome Badminton Racket,Sports,Badminton Racket,NovaLite,199.54,112.82
P0071,BrightHome Running Shoes,Sports,Running Shoes,EcoBasics,275.29,155.49
P0072,ZenCare Running Shoes,Sports,Running Shoes,SwiftFit,22.05,14.43
P0073,Nexa Resistance Band,Sports,Resistance Band,ZenCare,518.63,379.97
P0074,UrbanCo Resistance Band,Sports,Resistance Band,UrbanCo,238.49,150.73
P0075,MajuMart Water Bottle,Sports,Water Bottle,SwiftFit,181.67,112.02
P0076,SwiftFit Water Bottle,Sports,Water Bottle,BrightHome,467.47,335.36
P0077,BrightHome Sports Bag,Sports,Sports Bag,DailyChoice,26.61,18.76
P0078,AlphaTech Sports Bag,Sports,Sports Bag,Nexa,580.2,404.93
P0079,UrbanCo Skipping Rope,Sports,Skipping Rope,MajuMart,273.83,172.44
P0080,AlphaTech Skipping Rope,Sports,Skipping Rope,MajuMart,53.06,38.22
P0081,SwiftFit Notebook,Books & Stationery,Notebook,NovaLite,11.68,7.51
P0082,AlphaTech Notebook,Books & Stationery,Notebook,ZenCare,58.3,41.41
P0083,Nexa Planner,Books & Stationery,Planner,UrbanCo,10.38,7.53
P0084,Nexa Planner,Books & Stationery,Planner,Nexa,50.07,35.25
P0085,BrightHome Pen Set,Books & Stationery,Pen Set,MajuMart,16.02,8.26
P0086,EcoBasics Pen Set,Books & Stationery,Pen Set,AlphaTech,67.28,42.32
P0087,MajuMart Novel,Books & Stationery,Novel,AlphaTech,3.01,1.51
P0088,AlphaTech Novel,Books & Stationery,Novel,MajuMart,3.15,1.83
P0089,SwiftFit Textbook,Books & Stationery,Textbook,Nexa,24.61,12.09
P0090,NovaLite Textbook,Books & Stationery,Textbook,UrbanCo,97.54,52.35
P0091,EcoBasics Highlighter,Books & Stationery,Highlighter,DailyChoice,17.64,11.13
P0092,NovaLite Highlighter,Books & Stationery,Highlighter,MajuMart,68.72,50.16
P0093,EcoBasics Sticky Notes,Books & Stationery,Sticky Notes,Nexa,114.5,80.03
P0094,EcoBasics Sticky Notes,Books & Stationery,Sticky Notes,NovaLite,6.76,4.93
P0095,UrbanCo File Organizer,Books & Stationery,File Organizer,EcoBasics,11.33,7.85
P0096,NovaLite File Organizer,Books & Stationery,File Organizer,NovaLite,92.0,65.49
P0097,BrightHome Coffee,Groceries,Coffee,NovaLite,101.35,61.24
P0098,EcoBasics Coffee,Groceries,Coffee,SwiftFit,11.26,7.41
P0099,BrightHome Chocolate,Groceries,Chocolate,SwiftFit,15.33,7.65
P0100,AlphaTech Chocolate,Groceries,Chocolate,SwiftFit,64.08,37.67
P0101,BrightHome Cereal,Groceries,Cereal,MajuMart,132.8,67.88
P0102,Nexa Cereal,Groceries,Cereal,UrbanCo,53.21,39.67
P0103,SwiftFit Instant Noodles,Groceries,Instant Noodles,EcoBasics,55.96,32.08
P0104,EcoBasics Instant Noodles,Groceries,Instant Noodles,DailyChoice,57.65,35.63
P0105,EcoBasics Cooking Oil,Groceries,Cooking Oil,Nexa,9.27,4.56
P0106,NovaLite Cooking Oil,Groceries,Cooking Oil,SwiftFit,43.47,30.33
P0107,SwiftFit Rice Pack,Groceries,Rice Pack,DailyChoice,31.16,22.94
P0108,BrightHome Rice Pack,Groceries,Rice Pack,AlphaTech,18.39,13.04
P0109,EcoBasics Snack Box,Groceries,Snack Box,BrightHome,17.97,10.61
P0110,EcoBasics Snack Box,Groceries,Snack Box,MajuMart,48.88,25.99
P0111,AlphaTech Tea,Groceries,Tea,Nexa,59.31,33.29
P0112,DailyChoice Tea,Groceries,Tea,DailyChoice,17.48,9.38
