order_item_id,order_id,order_date,customer_id,product_id,category,quantity,unit_price,discount_amount,shipping_fee,payment_method,order_status,line_revenue,gross_profit
OI0000042,O000031,2026-04-19,C00004,P0027,Fashion,1,129.23,19.38,6.9,Online Banking,Delivered,116.75,20.18
OI0000043,O000032,2026-02-02,C00004,P0072,Sports,2,22.05,0.0,4.9,E-Wallet,Delivered,49.0,15.24
OI0000044,O000032,2026-02-02,C00004,P0092,Books & Stationery,1,68.72,0.0,0,E-Wallet,Delivered,68.72,18.56
OI0000045,O000033,2026-03-28,C00004,P0092,Books & Stationery,1,68.72,0.0,6.9,E-Wallet,Delivered,75.62,18.56
OI0000046,O000034,2026-04-10,C00004,P0014,Electronics,1,2524.19,0.0,6.9,Credit Card,Delivered,2531.09,729.65
OI0000047,O000034,2026-04-10,C00004,P0070,Sports,1,199.54,0.0,8.9,Credit Card,Delivered,208.44,86.72
OI0000048,O000035,2026-04-29,C00004,P0073,Sports,1,518.63,0.0,6.9,Online Banking,Delivered,525.53,138.66
OI0000049,O000036,2026-03-22,C00004,P0076,Sports,1,467.47,0.0,8.9,Online Banking,Delivered,476.37,132.11
OI0000050,O000037,2026-01-11,C00006,P0001,Electronics,1,1091.61,0.0,6.9,Credit Card,Delivered,1098.51,560.27
OI0000051,O000038,2025-11-06,C00006,P0022,Fashion,1,31.66,3.17,8.9,Credit Card,Shipped,37.39,9.03
OI0000052,O000039,2025-09-15,C00006,P0105,Groceries,1,9.27,0.0,6.9,Online Banking,Delivered,16.17,4.71
OI0000053,O000040,2026-04-25,C00006,P0026,Fashion,1,87.2,4.36,8.9,Online Banking,Delivered,91.74,23.19
OI0000054,O000041,2025-12-14,C00006,P0006,Electronics,1,563.56,84.53,8.9,Credit Card,Delivered,487.93,166.19
OI0000055,O000041,2025-12-14,C00006,P0051,Beauty & Health,1,10.6,0.0,6.9,Credit Card,Delivered,17.5,3.63
OI0000056,O000042,2026-03-24,C00006,P0076,Sports,2,467.47,0.0,8.9,Online Banking,Delivered,943.84,264.22
OI0000057,O000043,2025-10-08,C00006,P0019,Fashion,1,150.24,0.0,0,Credit Card,Delivered,150.24,43.93
OI0000058,O000043,2025-10-08,C00006,P0032,Fashion,1,273.73,0.0,8.9,Credit Card,Delivered,282.63,77.61
OI0000059,O000044,2025-09-12,C00006,P0040,Home & Living,1,29.57,0.0,4.9,Credit Card,Delivered,34.47,11.58
OI0000060,O000045,2026-04-09,C00006,P0032,Fashion,1,273.73,27.37,6.9,E-Wallet,Delivered,253.26,50.24
OI0000061,O000046,2026-03-13,C00007,P0042,Home & Living,3,777.79,0.0,4.9,E-Wallet,Delivered,2338.27,737.52
OI0000062,O000047,2026-03-30,C00007,P0053,Beauty & Health,1,9.66,0.0,0,Credit Card,Delivered,9.66,3.12
OI0000063,O000048,2026-04-02,C00007,P0058,Beauty & Health,1,163.47,16.35,6.9,Credit Card,Delivered,154.02,31.2
OI0000064,O000048,2026-04-02,C00007,P0062,Beauty & Health,1,96.34,0.0,8.9,Credit Card,Delivered,105.24,31.1
OI0000065,O000048,2026-04-02,C00007,P0019,Fashion,1,150.24,0.0,6.9,Credit Card,Delivered,157.14,43.93
OI0000066,O000049,2026-04-22,C00007,P0052,Beauty & Health,1,39.42,1.97,6.9,Credit Card,Delivered,44.35,9.33
OI0000067,O000050,2026-04-24,C00008,P0069,Sports,2,219.48,21.95,4.9,Cash on Delivery,Delivered,421.91,132.91
OI0000068,O000050,2026-04-24,C00008,P0065,Sports,1,13.48,0.0,6.9,Cash on Delivery,Delivered,20.38,5.27
OI0000069,O000050,2026-04-24,C00008,P0044,Home & Living,1,730.43,73.04,6.9,Cash on Delivery,Delivered,664.29,217.74
OI0000070,O000051,2026-04-12,C00008,P0071,Sports,2,275.29,0.0,8.9,Credit Card,Delivered,559.48,239.6
OI0000071,O000052,2026-02-12,C00008,P0018,Fashion,1,78.83,3.94,0,Online Banking,Delivered,74.89,31.31
OI0000072,O000052,2026-02-12,C00008,P0071,Sports,1,275.29,13.76,6.9,Online Banking,Delivered,268.43,106.04
OI0000073,O000052,2026-02-12,C00008,P0002,Electronics,2,176.05,0.0,0,Online Banking,Delivered,352.1,113.08
OI0000074,O000053,2026-02-08,C00008,P0104,Groceries,1,57.65,0.0,4.9,Credit Card,Delivered,62.55,22.02
OI0000075,O000054,2026-04-12,C00008,P0080,Sports,1,53.06,0.0,0,Credit Card,Shipped,53.06,14.84
OI0000076,O000055,2026-02-26,C00008,P0050,Beauty & Health,1,49.22,0.0,0,Cash on Delivery,Delivered,49.22,15.17
OI0000077,O000056,2026-04-01,C00008,P0079,Sports,2,273.83,0.0,8.9,Online Banking,Delivered,556.56,202.78
OI0000078,O000057,2026-02-14,C00008,P0064,Beauty & Health,1,106.44,0.0,6.9,E-Wallet,Delivered,113.34,53.6
OI0000079,O000058,2026-03-02,C00008,P0005,Electronics,1,1356.34,135.63,6.9,Cash on Delivery,Shipped,1227.61,312.83
OI0000080,O000059,2025-05-29,C00009,P0035,Home & Living,1,138.59,0.0,8.9,Online Banking,Delivered,147.49,66.02
OI0000081,O000060,2026-02-02,C00009,P0043,Home & Living,1,155.73,0.0,0,Online Banking,Delivered,155.73,52.74
OI0000082,O000061,2026-04-17,C00010,P0057,Beauty & Health,1,85.55,0.0,0,Online Banking,Delivered,85.55,32.0
OI0000083,O000062,2026-04-04,C00010,P0002,Electronics,1,176.05,8.8,8.9,E-Wallet,Cancelled,176.15,47.74
OI0000084,O000063,2026-01-05,C00010,P0010,Electronics,1,1710.21,0.0,0,Credit Card,Delivered,1710.21,552.35
OI0000085,O000063,2026-01-05,C00010,P0008,Electronics,1,2385.46,0.0,4.9,Credit Card,Delivered,2390.36,1023.65
OI0000086,O000064,2026-02-05,C00010,P0063,Beauty & Health,2,13.31,0.0,0,E-Wallet,Delivered,26.62,11.7
OI0000087,O000065,2026-04-28,C00012,P0028,Fashion,1,20.13,1.01,6.9,Cash on Delivery,Delivered,26.02,7.38
OI0000088,O000066,2026-01-24,C00012,P0031,Fashion,1,22.48,0.0,0,Online Banking,Delivered,22.48,9.05
OI0000089,O000067,2026-02-01,C00012,P0024,Fashion,1,38.33,0.0,6.9,E-Wallet,Delivered,45.23,13.88
OI0000090,O000068,2026-01-10,C00012,P0028,Fashion,1,20.13,0.0,4.9,Credit Card,Cancelled,25.03,8.39
OI0000091,O000069,2026-03-23,C00012,P0080,Sports,1,53.06,5.31,0,Cash on Delivery,Delivered,47.75,9.53
OI0000092,O000070,2025-11-17,C00012,P0107,Groceries,1,31.16,3.12,8.9,Online Banking,Shipped,36.94,5.1
OI0000093,O000071,2025-10-02,C00012,P0013,Electronics,1,143.29,0.0,6.9,E-Wallet,Delivered,150.19,71.82
OI0000094,O000071,2025-10-02,C00012,P0021,Fashion,1,20.23,1.01,4.9,E-Wallet,Delivered,24.12,4.52
OI0000095,O000072,2026-03-11,C00012,P0030,Fashion,1,149.12,0.0,4.9,Online Banking,Delivered,154.02,55.92
OI0000096,O000072,2026-03-11,C00012,P0032,Fashion,1,273.73,0.0,8.9,Online Banking,Delivered,282.63,77.61
OI0000097,O000072,2026-03-11,C00012,P0029,Fashion,1,36.7,3.67,4.9,Online Banking,Delivered,37.93,9.93
OI0000098,O000073,2026-01-03,C00012,P0024,Fashion,1,38.33,0.0,8.9,E-Wallet,Delivered,47.23,13.88
OI0000099,O000074,2026-02-16,C00012,P0027,Fashion,1,129.23,6.46,6.9,Online Banking,Delivered,129.67,33.1
OI0000100,O000075,2026-03-17,C00012,P0018,Fashion,3,78.83,0.0,6.9,Online Banking,Returned,243.39,105.75
OI0000101,O000076,2026-04-09,C00013,P0015,Electronics,1,246.04,0.0,4.9,Credit Card,Shipped,250.94,85.71
OI0000102,O000076,2026-04-09,C00013,P0009,Electronics,1,72.85,3.64,4.9,Credit Card,Shipped,74.11,17.57
OI0000103,O000077,2026-04-26,C00013,P0006,Electronics,1,563.56,0.0,6.9,E-Wallet,Delivered,570.46,250.72
OI0000104,O000078,2026-04-05,C00013,P0020,Fashion,1,208.1,20.81,8.9,E-Wallet,Delivered,196.19,42.17
OI0000105,O000079,2026-02-27,C00014,P0031,Fashion,1,22.48,1.12,0,Credit Card,Delivered,21.36,7.93
OI0000106,O000080,2026-02-22,C00014,P0028,Fashion,1,20.13,0.0,6.9,E-Wallet,Delivered,27.03,8.39
OI0000107,O000081,2026-02-12,C00014,P0025,Fashion,1,55.69,0.0,8.9,E-Wallet,Processing,64.59,13.96
OI0000108,O000081,2026-02-12,C00014,P0013,Electronics,1,143.29,7.16,4.9,E-Wallet,Processing,141.03,64.66
OI0000109,O000082,2026-01-17,C00014,P0021,Fashion,1,20.23,0.0,4.9,Online Banking,Delivered,25.13,5.53
OI0000110,O000083,2026-02-26,C00014,P0021,Fashion,1,20.23,0.0,4.9,Cash on Delivery,Processing,25.13,5.53
OI0000111,O000084,2026-02-18,C00014,P0001,Electronics,2,1091.61,218.32,8.9,Credit Card,Delivered,1973.8,902.22
OI0000112,O000085,2026-02-24,C00014,P0023,Fashion,1,38.65,0.0,6.9,E-Wallet,Cancelled,45.55,17.52
OI0000113,O000086,2026-02-06,C00014,P0032,Fashion,1,273.73,27.37,8.9,Credit Card,Delivered,255.26,50.24
OI0000114,O000087,2026-04-25,C00015,P0009,Electronics,3,72.85,0.0,4.9,Credit Card,Delivered,223.45,63.63
OI0000115,O000088,2026-04-12,C00015,P0063,Beauty & Health,2,13.31,0.0,0,Online Banking,Cancelled,26.62,11.7
OI0000116,O000089,2026-04-22,C00015,P0050,Beauty & Health,1,49.22,0.0,0,Cash on Delivery,Delivered,49.22,15.17
OI0000117,O000089,2026-04-22,C00015,P0029,Fashion,4,36.7,0.0,8.9,Cash on Delivery,Delivered,155.7,54.4
OI0000118,O000090,2026-04-30,C00015,P0074,Sports,1,238.49,0.0,0,Online Banking,Delivered,238.49,87.76
OI0000119,O000090,2026-04-30,C00015,P0111,Groceries,2,59.31,0.0,0,Online Banking,Delivered,118.62,52.04
OI0000120,O000090,2026-04-30,C00015,P0069,Sports,1,219.48,0.0,0,Online Banking,Delivered,219.48,77.43
OI0000121,O000091,2026-04-16,C00015,P0070,Sports,2,199.54,0.0,0,Online Banking,Delivered,399.08,173.44
OI0000122,O000091,2026-04-16,C00015,P0051,Beauty & Health,1,10.6,0.0,4.9,Online Banking,Delivered,15.5,3.63
OI0000123,O000092,2026-04-22,C00015,P0086,Books & Stationery,2,67.28,0.0,0,Online Banking,Delivered,134.56,49.92
OI0000124,O000093,2026-04-19,C00015,P0069,Sports,3,219.48,0.0,6.9,Credit Card,Cancelled,665.34,232.29
OI0000125,O000093,2026-04-19,C00015,P0080,Sports,2,53.06,0.0,0,Credit Card,Cancelled,106.12,29.68
OI0000126,O000094,2026-04-17,C00021,P0070,Sports,3,199.54,29.93,6.9,E-Wallet,Delivered,575.59,230.23
OI0000127,O000095,2026-01-29,C00021,P0067,Sports,1,219.84,0.0,6.9,E-Wallet,Delivered,226.74,74.24
OI0000128,O000095,2026-01-29,C00021,P0094,Books & Stationery,1,6.76,0.34,0,E-Wallet,Delivered,6.42,1.49
OI0000129,O000096,2026-02-09,C00021,P0074,Sports,1,238.49,23.85,6.9,E-Wallet,Delivered,221.54,63.91
OI0000130,O000097,2026-04-07,C00021,P0096,Books & Stationery,1,92.0,0.0,4.9,Online Banking,Delivered,96.9,26.51
OI0000131,O000098,2026-02-11,C00021,P0087,Books & Stationery,2,3.01,1.2,8.9,Online Banking,Delivered,13.72,1.8
OI0000132,O000099,2026-03-17,C00021,P0090,Books & Stationery,1,97.54,0.0,6.9,Credit Card,Delivered,104.44,45.19
OI0000133,O000100,2026-02-28,C00021,P0081,Books & Stationery,2,11.68,0.0,6.9,Online Banking,Delivered,30.26,8.34
OI0000134,O000100,2026-02-28,C00021,P0048,Home & Living,2,248.69,24.87,8.9,Online Banking,Delivered,481.41,196.37
OI0000135,O000101,2026-03-03,C00021,P0034,Home & Living,2,641.23,0.0,6.9,Online Banking,Delivered,1289.36,491.1
OI0000136,O000101,2026-03-03,C00021,P0011,Electronics,2,2463.73,492.75,6.9,Online Banking,Delivered,4441.61,1565.93
OI0000137,O000102,2026-04-11,C00021,P0093,Books & Stationery,1,114.5,0.0,6.9,Cash on Delivery,Delivered,121.4,34.47
OI0000138,O000103,2026-02-27,C00021,P0026,Fashion,1,87.2,0.0,0,Credit Card,Delivered,87.2,27.55
OI0000139,O000104,2026-01-22,C00021,P0096,Books & Stationery,3,92.0,0.0,6.9,Online Banking,Processing,282.9,79.53
OI0000140,O000104,2026-01-22,C00021,P0074,Sports,2,238.49,0.0,0,Online Banking,Processing,476.98,175.52
OI0000141,O000105,2026-03-25,C00021,P0084,Books & Stationery,1,50.07,7.51,0,E-Wallet,Delivered,42.56,7.31
OI0000142,O000106,2026-04-25,C00021,P0090,Books & Stationery,1,97.54,0.0,4.9,E-Wallet,Delivered,102.44,45.19
OI0000143,O000107,2026-03-26,C00021,P0086,Books & Stationery,1,67.28,0.0,0,E-Wallet,Delivered,67.28,24.96
OI0000144,O000108,2026-03-17,C00021,P0054,Beauty & Health,1,15.61,0.78,6.9,Cash on Delivery,Delivered,21.73,5.08
OI0000145,O000109,2026-04-12,C00022,P0063,Beauty & Health,1,13.31,0.0,4.9,Credit Card,Delivered,18.21,5.85
OI0000146,O000110,2026-04-11,C00022,P0051,Beauty & Health,2,10.6,3.18,8.9,Cash on Delivery,Delivered,26.92,4.08
OI0000147,O000110,2026-04-11,C00022,P0058,Beauty & Health,1,163.47,8.17,8.9,Cash on Delivery,Delivered,164.2,39.38
OI0000148,O000111,2026-02-27,C00023,P0075,Sports,1,181.67,0.0,8.9,E-Wallet,Delivered,190.57,69.65
OI0000149,O000111,2026-02-27,C00023,P0048,Home & Living,1,248.69,0.0,6.9,E-Wallet,Delivered,255.59,110.62
OI0000150,O000112,2026-01-24,C00023,P0035,Home & Living,2,138.59,0.0,8.9,E-Wallet,Delivered,286.08,132.04
OI0000151,O000113,2026-02-22,C00023,P0043,Home & Living,1,155.73,7.79,8.9,Cash on Delivery,Delivered,156.84,44.95
OI0000152,O000114,2026-04-13,C00023,P0035,Home & Living,2,138.59,13.86,8.9,E-Wallet,Delivered,272.22,118.18
OI0000153,O000115,2026-02-13,C00023,P0045,Home & Living,1,18.62,0.0,8.9,E-Wallet,Delivered,27.52,9.58
OI0000154,O000116,2026-02-07,C00023,P0097,Groceries,2,101.35,10.13,8.9,E-Wallet,Delivered,201.47,70.09
OI0000155,O000117,2026-04-01,C00023,P0026,Fashion,3,87.2,39.24,6.9,Credit Card,Delivered,229.26,43.41
OI0000156,O000118,2025-12-25,C00023,P0002,Electronics,1,176.05,0.0,6.9,E-Wallet,Delivered,182.95,56.54
OI0000157,O000119,2026-03-25,C00023,P0043,Home & Living,2,155.73,0.0,8.9,E-Wallet,Delivered,320.36,105.48
OI0000158,O000119,2026-03-25,C00023,P0038,Home & Living,1,17.97,0.0,8.9,E-Wallet,Delivered,26.87,5.08
OI0000159,O000120,2026-03-25,C00023,P0003,Electronics,1,938.14,0.0,8.9,Cash on Delivery,Delivered,947.04,479.78
OI0000160,O000120,2026-03-25,C00023,P0101,Groceries,1,132.8,6.64,8.9,Cash on Delivery,Delivered,135.06,58.28
OI0000161,O000121,2026-04-10,C00023,P0040,Home & Living,1,29.57,1.48,8.9,Online Banking,Delivered,36.99,10.1
OI0000162,O000122,2026-02-21,C00023,P0002,Electronics,1,176.05,8.8,0,Cash on Delivery,Delivered,167.25,47.74
OI0000163,O000123,2026-01-12,C00023,P0079,Sports,1,273.83,0.0,0,Cash on Delivery,Delivered,273.83,101.39
OI0000164,O000124,2025-10-19,C00024,P0097,Groceries,1,101.35,0.0,8.9,Online Banking,Delivered,110.25,40.11
OI0000165,O000125,2025-12-23,C00024,P0018,Fashion,1,78.83,3.94,6.9,E-Wallet,Cancelled,81.79,31.31
OI0000166,O000126,2026-02-21,C00024,P0058,Beauty & Health,2,163.47,16.35,6.9,Online Banking,Delivered,317.49,78.75
OI0000167,O000127,2025-11-01,C00024,P0025,Fashion,1,55.69,0.0,0,Credit Card,Shipped,55.69,13.96
OI0000168,O000128,2026-02-28,C00024,P0024,Fashion,1,38.33,3.83,0,Online Banking,Delivered,34.5,10.05
OI0000169,O000128,2026-02-28,C00024,P0019,Fashion,3,150.24,22.54,4.9,Online Banking,Delivered,433.08,109.25
OI0000170,O000129,2026-04-10,C00024,P0022,Fashion,1,31.66,1.58,6.9,Credit Card,Delivered,36.98,10.62
OI0000171,O000129,2026-04-10,C00024,P0025,Fashion,2,55.69,0.0,4.9,Credit Card,Delivered,116.28,27.92
OI0000172,O000129,2026-04-10,C00024,P0032,Fashion,1,273.73,13.69,4.9,Credit Card,Delivered,264.94,63.92
OI0000173,O000130,2026-03-29,C00024,P0026,Fashion,3,87.2,0.0,6.9,Online Banking,Delivered,268.5,82.65
OI0000174,O000131,2026-03-23,C00024,P0030,Fashion,1,149.12,7.46,6.9,Online Banking,Delivered,148.56,48.46
OI0000175,O000131,2026-03-23,C00024,P0025,Fashion,2,55.69,0.0,8.9,Online Banking,Delivered,120.28,27.92
OI0000176,O000131,2026-03-23,C00024,P0024,Fashion,2,38.33,3.83,4.9,Online Banking,Delivered,77.73,23.93
OI0000177,O000132,2026-03-22,C00024,P0081,Books & Stationery,1,11.68,0.0,8.9,Online Banking,Delivered,20.58,4.17
OI0000178,O000133,2026-04-03,C00024,P0023,Fashion,3,38.65,5.8,0,Credit Card,Delivered,110.15,46.76
OI0000179,O000134,2026-02-12,C00024,P0100,Groceries,1,64.08,0.0,8.9,E-Wallet,Delivered,72.98,26.41
OI0000180,O000135,2025-10-19,C00024,P0027,Fashion,1,129.23,12.92,6.9,Credit Card,Cancelled,123.21,26.64
OI0000181,O000136,2025-07-06,C00025,P0071,Sports,1,275.29,0.0,8.9,Online Banking,Delivered,284.19,119.8
OI0000182,O000136,2025-07-06,C00025,P0078,Sports,1,580.2,29.01,8.9,Online Banking,Delivered,560.09,146.26
OI0000183,O000136,2025-07-06,C00025,P0003,Electronics,1,938.14,46.91,8.9,Online Banking,Delivered,900.13,432.87
OI0000184,O000137,2026-02-26,C00025,P0027,Fashion,3,129.23,0.0,8.9,Cash on Delivery,Delivered,396.59,118.68
OI0000185,O000138,2025-09-18,C00025,P0065,Sports,1,13.48,0.67,8.9,E-Wallet,Shipped,21.71,4.6
OI0000186,O000138,2025-09-18,C00025,P0076,Sports,1,467.47,0.0,0,E-Wallet,Shipped,467.47,132.11
OI0000187,O000139,2026-01-21,C00025,P0079,Sports,2,273.83,0.0,4.9,Cash on Delivery,Delivered,552.56,202.78
OI0000188,O000140,2026-04-25,C00025,P0068,Sports,1,20.44,0.0,0,Credit Card,Delivered,20.44,5.72
OI0000189,O000140,2026-04-25,C00025,P0039,Home & Living,1,488.55,0.0,4.9,Credit Card,Delivered,493.45,146.41
OI0000190,O000140,2026-04-25,C00025,P0067,Sports,2,219.84,21.98,8.9,Credit Card,Delivered,426.6,126.5
OI0000191,O000141,2026-04-27,C00025,P0075,Sports,2,181.67,0.0,0,Credit Card,Cancelled,363.34,139.3
OI0000192,O000141,2026-04-27,C00025,P0079,Sports,3,273.83,82.15,4.9,Credit Card,Cancelled,744.24,222.02
OI0000193,O000142,2025-06-23,C00025,P0034,Home & Living,1,641.23,32.06,0,Credit Card,Delivered,609.17,213.49
OI0000194,O000142,2025-06-23,C00025,P0066,Sports,3,13.9,4.17,0,Credit Card,Delivered,37.53,11.79
OI0000195,O000143,2025-05-22,C00025,P0072,Sports,1,22.05,0.0,6.9,E-Wallet,Delivered,28.95,7.62
OI0000196,O000143,2025-05-22,C00025,P0109,Groceries,1,17.97,3.59,4.9,E-Wallet,Delivered,19.28,3.77
OI0000197,O000144,2026-04-03,C00025,P0069,Sports,2,219.48,0.0,6.9,Online Banking,Delivered,445.86,154.86
OI0000198,O000144,2026-04-03,C00025,P0034,Home & Living,1,641.23,64.12,8.9,Online Banking,Delivered,586.01,181.43
OI0000199,O000145,2025-03-04,C00025,P0074,Sports,1,238.49,23.85,8.9,Credit Card,Delivered,223.54,63.91
OI0000200,O000145,2025-03-04,C00025,P0025,Fashion,1,55.69,0.0,4.9,Credit Card,Delivered,60.59,13.96
OI0000201,O000146,2025-03-15,C00025,P0074,Sports,1,238.49,0.0,4.9,Online Banking,Delivered,243.39,87.76
OI0000202,O000147,2026-02-22,C00025,P0047,Home & Living,2,19.02,1.9,6.9,E-Wallet,Delivered,43.04,17.56
OI0000203,O000147,2026-02-22,C00025,P0068,Sports,2,20.44,2.04,8.9,E-Wallet,Delivered,47.74,9.4
OI0000204,O000147,2026-02-22,C00025,P0070,Sports,1,199.54,0.0,6.9,E-Wallet,Delivered,206.44,86.72
OI0000205,O000148,2026-03-06,C00025,P0068,Sports,2,20.44,6.13,4.9,E-Wallet,Delivered,39.65,5.31
OI0000206,O000149,2026-04-27,C00025,P0059,Beauty & Health,1,51.45,2.57,6.9,E-Wallet,Delivered,55.78,21.21
OI0000207,O000150,2026-04-16,C00025,P0024,Fashion,1,38.33,1.92,0,E-Wallet,Delivered,36.41,11.96
OI0000208,O000151,2025-05-09,C00025,P0079,Sports,2,273.83,27.38,6.9,Credit Card,Delivered,527.18,175.4
OI0000209,O000152,2026-04-14,C00025,P0079,Sports,1,273.83,0.0,6.9,Credit Card,Delivered,280.73,101.39
OI0000210,O000153,2026-03-24,C00025,P0024,Fashion,1,38.33,3.83,8.9,Online Banking,Shipped,43.4,10.05
OI0000211,O000154,2025-06-14,C00025,P0072,Sports,1,22.05,0.0,4.9,Credit Card,Shipped,26.95,7.62
OI0000212,O000155,2025-12-23,C00025,P0066,Sports,1,13.9,0.0,0,E-Wallet,Processing,13.9,5.32
OI0000213,O000155,2025-12-23,C00025,P0077,Sports,1,26.61,2.66,0,E-Wallet,Processing,23.95,5.19
OI0000214,O000155,2025-12-23,C00025,P0072,Sports,1,22.05,1.1,8.9,E-Wallet,Processing,29.85,6.52
OI0000215,O000156,2025-05-02,C00025,P0074,Sports,1,238.49,0.0,0,Cash on Delivery,Delivered,238.49,87.76
OI0000216,O000157,2025-10-19,C00025,P0031,Fashion,2,22.48,0.0,0,Online Banking,Processing,44.96,18.1
OI0000217,O000157,2025-10-19,C00025,P0075,Sports,1,181.67,0.0,6.9,Online Banking,Processing,188.57,69.65
